                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.73011,                0.87489,                 1.0086,                 0.9936,                      1,                  0.995,                0.80822,                0.76432,                 1.1553,                0.84703,               0.001109,               0.001109,               0.001109
                     47,                0.69683,                0.96473,                0.99338,                0.99389,                      1,                  0.995,                0.75594,                0.78361,                 1.2401,                0.84666,              0.0010892,              0.0010892,              0.0010892
                     48,                0.68307,                0.84842,                0.97934,                0.99243,                      1,                  0.995,                0.79388,                0.76429,                 1.2754,                0.83759,              0.0010694,              0.0010694,              0.0010694
                     49,                0.70617,                0.87866,                0.97844,                 0.9931,                      1,                  0.995,                0.84864,                0.65723,                 1.1101,                 0.8283,              0.0010496,              0.0010496,              0.0010496
                     50,                0.62165,                0.78606,                0.93184,                0.99272,                      1,                  0.995,                0.84501,                0.57821,                 1.0945,                0.81386,              0.0010298,              0.0010298,              0.0010298
                     51,                0.61636,                0.78878,                0.94722,                0.99272,                      1,                  0.995,                0.84501,                0.57821,                 1.0945,                0.81386,                0.00101,                0.00101,                0.00101
                     52,                0.65977,                0.83911,                0.98334,                0.99236,                      1,                  0.995,                0.82087,                0.62838,                 1.0384,                0.83815,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.6178,                0.76423,                0.94781,                0.99281,                      1,                  0.995,                0.84007,                0.64414,                0.97336,                0.85246,              0.0009704,              0.0009704,              0.0009704
                     54,                0.64255,                0.80809,                0.95786,                0.99366,                      1,                  0.995,                0.87119,                0.64145,                0.95418,                0.84562,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.6943,                0.84138,                 1.0154,                0.99515,                      1,                  0.995,                0.85055,                0.70037,                0.92062,                0.85996,              0.0009308,              0.0009308,              0.0009308
                     56,                0.66822,                0.75972,                0.92611,                0.99638,                      1,                  0.995,                0.85105,                0.72125,                0.94104,                0.86828,               0.000911,               0.000911,               0.000911
                     57,                0.62939,                0.74563,                0.92612,                0.99638,                      1,                  0.995,                0.85105,                0.72125,                0.94104,                0.86828,              0.0008912,              0.0008912,              0.0008912
                     58,                0.62333,                 0.7578,                0.92498,                      1,                0.99996,                  0.995,                0.82938,                0.69445,                 0.9059,                0.87395,              0.0008714,              0.0008714,              0.0008714
                     59,                0.61336,                0.75757,                0.91728,                      1,                0.99551,                  0.995,                0.89329,                0.62482,                0.93199,                0.87457,              0.0008516,              0.0008516,              0.0008516
